doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4079013,-0.001119608433
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402455158867,-0.0012010311415
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.397009017745,-0.0012896081616
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391781666718,-0.00138204162553
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.386554315692,-0.00148247814959
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381969283287,-0.00157780342025
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37802567687,-0.00166568328775
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374580273993,-0.001747270075
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.371528731321,-0.00182353350399
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368794445146,-0.00189525831772
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.366320268923,-0.00196307380078
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364062755184,-0.00202748689165
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.361988245525,-0.00208890993635
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36007020659,-0.00214768210206
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.358287389287,-0.00220408549684
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356622534144,-0.00225835726651
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355061443935,-0.00231069872438
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353592307506,-0.00236128230705
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352205198483,-0.00241025693113
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350891697878,-0.00245775216473
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.349644605916,-0.00250388151113
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348457719115,-0.00254874502076
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.347325655773,-0.00259243138903
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346243717856,-0.00263501965695
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345207780582,-0.00267658060147
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344214203326,-0.00271717788133
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343259757113,-0.00275686898837
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342341565137,-0.00279570604299
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.341457053612,-0.00283373646341
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340603910867,-0.0028710035324
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.339780053102,-0.00290754687969
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338983595538,-0.002943402895
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.338212827973,-0.00297860508328
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337466193974,-0.00301318437175
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.336742273064,-0.00304716937648
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33603976541,-0.00308058663475
