doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4237338,-0.001618224246
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4102569684924197,-0.001991805779442753
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39678013699668563,-0.002468701758354313
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38330330550095165,-0.003082562673314182
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37815259660353306,-0.00336256032852999
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37300188770611453,-0.003672367120730324
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36785117880869594,-0.004015635948547344
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3627004699112774,-0.004396527810574092
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35919948757915104,-0.004679295317141461
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565445641977182,-0.0049077858148714225
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35431291344107807,-0.00510986417583415
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35235743256713076,-0.005294872333215432
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35060442762287974,-0.005467330606106296
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490097777621734,-0.005629869607996424
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3475440784580841,-0.005784207623606748
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346186303201977,-0.005931558689939167
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3449206625117447,-0.006072829810556259
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3437348708238966,-0.006208726925468749
