doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327142484736618,0.3327142484736618,-0.008454598432187606,-0.008454598432187606
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327070177836026,0.3327070177836026,-0.008455818554140779,-0.008455818554140779
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33269778037553027,0.33269778037553027,-0.008457377588695449,-0.008457377588695449
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332688542967458,0.332688542967458,-0.008458936953995246,-0.008458936953995246
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326793055593856,0.3326793055593856,-0.008460496650119534,-0.008460496650119534
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326700681513132,0.3326700681513132,-0.00846205667714767,-0.00846205667714767
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33266083074324093,0.33266083074324093,-0.008463617035159049,-0.008463617035159049
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326515933351685,0.3326515933351685,-0.008465177724233122,-0.008465177724233122
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326423559270962,0.3326423559270962,-0.008466738744449283,-0.008466738744449283
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33263311851902383,0.33263311851902383,-0.008468300095887012,-0.008468300095887012
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33262388111095137,0.33262388111095137,-0.008469861778625805,-0.008469861778625805
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332614643702879,0.332614643702879,-0.008471423792745136,-0.008471423792745136
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326054062948068,0.3326054062948068,-0.008472986138324515,-0.008472986138324515
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33259616888673443,0.33259616888673443,-0.008474548815443524,-0.008474548815443524
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33258693147866203,0.33258693147866203,-0.008476111824181726,-0.008476111824181726
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33257769407058974,0.33257769407058974,-0.00847767516461868,-0.00847767516461868
1,8.5,2.7142260421330526,2.6295547810064,0.22022143492965734,0.08852344861947758,33.90338947276598,29.30055983654607,False,True,0.13943624536149132,0.0556421584608562,0.43569926650450214,0.43569926650450214,0.3325684566625173,0.3325684566625173,-0.008479238836834043,-0.008479238836834043
1,9.0,3.8545285909180462,3.634888365405266,0.3956643012486915,0.12572832483647106,33.32641749476659,26.751882450175334,True,True,0.17236545945914244,0.05794484423427125,0.9406753520399381,0.9406753520399381,0.33253938774615094,0.33254336958374525,-0.008484161674695399,-0.008483487153848588
1,9.5,4.146166611047096,3.8510636855066505,0.49710594911468015,0.14940522444853363,32.94287428206002,25.6574825710838,True,True,0.1682852524516344,0.05509055551583281,1.31226160965828,1.31226160965828,0.33248974662638003,0.33250188987364376,-0.008492576032144246,-0.008490516819043592
1,10.0,4.891638106565947,4.4746792307708,0.5595877338884511,0.16224774204335138,32.956710941983275,24.036483536459638,False,True,0.1924579196722506,0.0562714309453671,0.9409106432607118,0.9409106432607118,0.33242580369114516,0.33244845953511454,-0.008503428755208502,-0.008499581664802655
1,10.5,5.756824607525245,5.143553629712596,0.7684398422492575,0.18875712105205156,32.56552683986226,22.93366036202123,False,True,0.21863048591908146,0.05967821384537937,1.8381550289389472,1.8381550289389472,0.33237119929595604,0.3324058685606431,-0.008512709126623077,-0.00850681551022097
1,11.0,6.487625605509763,5.650731357535248,0.8607770102779605,0.20978765622386172,32.28160174278639,21.24567965539326,False,True,0.23407213277313327,0.05885599023342322,1.5746414327297789,1.5746414327297789,0.3322831525017884,0.33233534824897293,-0.008527697807145854,-0.008518808582223897
1,11.5,7.184242766520274,5.8612314438857425,1.0994339771829957,0.2235335880965718,31.908681018049084,18.834060676941398,False,True,0.24015333173633027,0.05211124055311031,2.216572014359969,2.216572014359969,0.3322002811606105,0.33227215931871146,-0.008541833189377046,-0.008529571367482343
